,Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
4478,17.05.2019 19:15:43,20.05.2019,*7197,OK,-120.0,RUB,-120.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M. V.,2,0,120.0
4481,17.05.2019 09:09:51,20.05.2019,*7197,OK,-120.0,RUB,-120.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M. V.,2,0,120.0
4465,19.05.2019 21:42:58,20.05.2019,*7197,OK,-90.0,RUB,-90.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M. V.,1,0,90.0
4470,19.05.2019 14:31:50,20.05.2019,*7197,OK,-90.0,RUB,-90.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M. V.,1,0,90.0
1342,20.04.2021 17:52:51,20.04.2021,*7197,OK,-60.0,RUB,-60.0,RUB,,Фастфуд,5814.0,Mouse Tail,1,0,60.0
2841,18.04.2020 12:56:40,20.04.2020,*7197,OK,-296.0,RUB,-296.0,RUB,,Фастфуд,5814.0,Rumyanyj Khleb,5,0,296.0
4617,17.04.2019 10:54:19,20.04.2019,*7197,OK,-175.0,RUB,-175.0,RUB,,Фастфуд,5814.0,OOO Falafelfoks,3,0,175.0
1521,20.03.2021 10:45:42,20.03.2021,*7197,OK,-56.0,RUB,-56.0,RUB,,Фастфуд,5814.0,Rumyanyj Khleb,1,0,56.0
1520,20.03.2021 13:54:26,20.03.2021,*7197,OK,-149.0,RUB,-149.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M.V.,2,0,149.0
1519,20.03.2021 14:21:30,20.03.2021,*7197,OK,-101.0,RUB,-101.0,RUB,,Фастфуд,5814.0,McDonald's,2,0,101.0
4787,18.03.2019 00:00:00,20.03.2019,*7197,OK,-59.0,RUB,-59.0,RUB,,Фастфуд,5814.0,McDonald's,1,0,59.0
4789,18.03.2019 00:00:00,20.03.2019,*7197,OK,-59.0,RUB,-59.0,RUB,,Фастфуд,5814.0,McDonald's,1,0,59.0
6426,17.03.2018 17:01:27,20.03.2018,*7197,OK,-245.0,RUB,-245.0,RUB,,Фастфуд,5814.0,OOO Avrora Rusko,4,0,245.0
1689,20.02.2021 11:15:03,20.02.2021,*7197,OK,-56.0,RUB,-56.0,RUB,,Фастфуд,5814.0,Rumyanyj Khleb,1,0,56.0
1687,20.02.2021 13:50:51,20.02.2021,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,Pingvin Kofe I Chaj,2,0,129.0
1686,20.02.2021 15:52:01,20.02.2021,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,Pingvin Kofe I Chaj,2,0,129.0
